"corpus","text","newman","spurgeon"
"chapters","Hebrews 12","1_1","9_528"
"chapters","Matthew 16","7_172","10_594"
"chapters","John 13","1_3","25_1499"
"chapters","Psalm 19","1_4","48_2775"
"chapters","Romans 13","1_5","27_1614"
"chapters","1 Corinthians 4","1_6","5_262"
"chapters","Hebrews 10","5_120","15_891"
"chapters","1 John 5","7_158","20_1207"
"chapters","Luke 8","1_9","59_3357"
"chapters","Luke 12","1_10","50_2871"
"chapters","Galatians 3","1_11","3_128"
"chapters","Matthew 5","1_12","55_3156"
"chapters","Matthew 21","1_13","37_2196"
"chapters","Mark 14","1_14","28_1643"
"chapters","Romans 4","1_15","36_2159"
"chapters","John 3","7_171","11_630"
"chapters","1 Corinthians 3","1_17","27_1602"
"chapters","Psalm 37","1_18","52_3002"
"chapters","Matthew 6","1_19","6_335"
"chapters","Luke 11","1_20","11_613"
"chapters","Luke 20","1_21","31_1863"
"chapters","Acts 10","1_22","4_201"
"chapters","Psalm 2","1_23","5_260"
"chapters","John 5","1_25","60_3389"
"chapters","1 Corinthians 13","1_26","27_1617"
"chapters","John 1","2_53","39_2329"
"chapters","John 20","2_28","47_2733"
"chapters","Hebrews 11","2_30","12_697"
"chapters","1 John 4","2_31","29_1707"
"chapters","Matthew 18","2_32","35_2083"
"chapters","Matthew 3","2_33","46_2704"
"chapters","Isaiah 60","6_151","53_3051"
"chapters","1 Corinthians 15","2_35","14_807"
"chapters","Luke 17","2_36","25_1491"
"chapters","Revelation 3","2_37","12_679"
"chapters","Luke 1","2_38","51_2941"
"chapters","Luke 24","2_39","5_254"
"chapters","1 John 2","2_40","14_811"
"chapters","2 Corinthians 13","2_43","30_1788"
"chapters","Romans 8","2_45","21_1220"
"chapters","1 Timothy 6","2_48","33_1946"
"chapters","Acts 11","2_49","1_44"
"chapters","Mark 6","2_50","55_3128"
"chapters","Luke 7","2_51","59_3359"
"chapters","Matthew 20","4_103","37_2212"
"chapters","Luke 6","2_54","27_1584"
"chapters","Psalm 104","2_55","41_2403"
"chapters","John 2","7_161","36_2155"
"chapters","Acts 1","2_58","60_3421"
"chapters","Psalm 46","3_60","4_190"
"chapters","Hosea 13","3_61","24_1441"
"chapters","1 Samuel 16","3_62","11_638"
"chapters","Matthew 19","6_152","3_145"
"chapters","Luke 15","3_65","14_809"
"chapters","Genesis 16","3_67","2_85"
"chapters","John 11","3_68","56_3228"
"chapters","Colossians 1","3_69","28_1688"
"chapters","Hebrews 5","3_70","9_506"
"chapters","Judges 5","3_71","13_763"
"chapters","Proverbs 4","3_72","4_179"
"chapters","Matthew 13","3_73","58_3305"
"chapters","2 Timothy 2","4_93","25_1453"
"chapters","2 Corinthians 3","3_76","36_2160"
"chapters","1 Corinthians 12","3_77","46_2694"
"chapters","Luke 10","3_80","16_927"
"chapters","James 5","3_81","57_3255"
"chapters","Ephesians 6","3_82","37_2201"
"chapters","Romans 6","7_168","15_882"
"chapters","Numbers 32","4_86","32_1916"
"chapters","Luke 14","4_87","5_227"
"chapters","Micah 7","4_90","16_945"
"chapters","Job 13","4_91","21_1255"
"chapters","Romans 5","4_92","8_446"
"chapters","Psalm 145","4_94","30_1796"
"chapters","Ephesians 2","4_95","23_1388"
"chapters","2 Corinthians 4","4_96","58_3288"
"chapters","Psalm 27","9_195","23_1371"
"chapters","John 16","6_140","1_50"
"chapters","Psalm 139","4_102","45_2609"
"chapters","Ecclesiastes 3","4_106","56_3220"
"chapters","Isaiah 33","5_110","9_489"
"chapters","Philippians 4","5_125","24_1397"
"chapters","Genesis 32","5_112","26_1544"
"chapters","Hebrews 2","5_113","58_3286"
"chapters","Ecclesiastes 7","5_114","53_3072"
"chapters","1 Corinthians 1","5_116","11_616"
"chapters","Romans 10","5_117","3_140"
"chapters","2 Corinthians 5","5_118","16_912"
"chapters","Ephesians 4","5_119","11_614"
"chapters","Galatians 5","5_121","21_1239"
"chapters","2 Corinthians 8","6_134","37_2234"
"chapters","2 Corinthians 1","5_123","45_2640"
"chapters","1 Corinthians 9","5_124","20_1170"
"chapters","Genesis 42","5_126","14_840"
"chapters","Matthew 4","6_131","45_2613"
"chapters","Genesis 27","6_132","61_3473"
